
Sync-Point 0, TimeBin=0, Time: 0, Systemstep: 0, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 1, TimeBin=21, Time: 0.0195312, Systemstep: 0.0195312, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 2, TimeBin=21, Time: 0.0390625, Systemstep: 0.0195312, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 3, TimeBin=21, Time: 0.0585938, Systemstep: 0.0195312, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 4, TimeBin=21, Time: 0.078125, Systemstep: 0.0195312, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 5, TimeBin=20, Time: 0.0878906, Systemstep: 0.00976562, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 6, TimeBin=20, Time: 0.0976562, Systemstep: 0.00976562, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 7, TimeBin=20, Time: 0.107422, Systemstep: 0.00976562, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 8, TimeBin=20, Time: 0.117188, Systemstep: 0.00976562, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 9, TimeBin=20, Time: 0.126953, Systemstep: 0.00976562, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 10, TimeBin=20, Time: 0.136719, Systemstep: 0.00976562, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 11, TimeBin=20, Time: 0.146484, Systemstep: 0.00976562, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 12, TimeBin=20, Time: 0.15625, Systemstep: 0.00976562, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 13, TimeBin=20, Time: 0.166016, Systemstep: 0.00976562, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 14, TimeBin=20, Time: 0.175781, Systemstep: 0.00976562, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 15, TimeBin=20, Time: 0.185547, Systemstep: 0.00976562, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 16, TimeBin=20, Time: 0.195312, Systemstep: 0.00976562, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 17, TimeBin=20, Time: 0.205078, Systemstep: 0.00976562, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 18, TimeBin=20, Time: 0.214844, Systemstep: 0.00976562, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 19, TimeBin=20, Time: 0.224609, Systemstep: 0.00976562, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 20, TimeBin=20, Time: 0.234375, Systemstep: 0.00976562, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 21, TimeBin=20, Time: 0.244141, Systemstep: 0.00976562, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 22, TimeBin=19, Time: 0.249023, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 23, TimeBin=19, Time: 0.253906, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 24, TimeBin=19, Time: 0.258789, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 25, TimeBin=19, Time: 0.263672, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 26, TimeBin=19, Time: 0.268555, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

