
Sync-Point 0, TimeBin=0, Time: 0, Systemstep: 0, Nsync-grv:      22500, Nsync-hyd:      22500

Sync-Point 1, TimeBin=25, Time: 0.125, Systemstep: 0.125, Nsync-grv:      22500, Nsync-hyd:      22500

Sync-Point 2, TimeBin=18, Time: 0.125977, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         36

Sync-Point 3, TimeBin=19, Time: 0.126953, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         48

Sync-Point 4, TimeBin=18, Time: 0.12793, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         20

Sync-Point 5, TimeBin=20, Time: 0.128906, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         68

Sync-Point 6, TimeBin=18, Time: 0.129883, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         20

Sync-Point 7, TimeBin=19, Time: 0.130859, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         40

Sync-Point 8, TimeBin=18, Time: 0.131836, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         20

Sync-Point 9, TimeBin=21, Time: 0.132812, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         84

Sync-Point 10, TimeBin=18, Time: 0.133789, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         20

Sync-Point 11, TimeBin=19, Time: 0.134766, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         60

Sync-Point 12, TimeBin=18, Time: 0.135742, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         20

Sync-Point 13, TimeBin=20, Time: 0.136719, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         80

Sync-Point 14, TimeBin=18, Time: 0.137695, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         20

Sync-Point 15, TimeBin=19, Time: 0.138672, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         68

Sync-Point 16, TimeBin=18, Time: 0.139648, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         20

Sync-Point 17, TimeBin=22, Time: 0.140625, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         85

Sync-Point 18, TimeBin=18, Time: 0.141602, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         28

Sync-Point 19, TimeBin=19, Time: 0.142578, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         65

Sync-Point 20, TimeBin=18, Time: 0.143555, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         28

Sync-Point 21, TimeBin=20, Time: 0.144531, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         81

Sync-Point 22, TimeBin=18, Time: 0.145508, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         28

Sync-Point 23, TimeBin=19, Time: 0.146484, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         73

Sync-Point 24, TimeBin=18, Time: 0.147461, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         28

Sync-Point 25, TimeBin=21, Time: 0.148438, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         85

Sync-Point 26, TimeBin=18, Time: 0.149414, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         28

Sync-Point 27, TimeBin=19, Time: 0.150391, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         80

Sync-Point 28, TimeBin=18, Time: 0.151367, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         24

Sync-Point 29, TimeBin=20, Time: 0.152344, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         81

Sync-Point 30, TimeBin=18, Time: 0.15332, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         24

Sync-Point 31, TimeBin=19, Time: 0.154297, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         80

Sync-Point 32, TimeBin=18, Time: 0.155273, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         24

Sync-Point 33, TimeBin=23, Time: 0.15625, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        133

Sync-Point 34, TimeBin=18, Time: 0.157227, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         25

Sync-Point 35, TimeBin=19, Time: 0.158203, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        103

Sync-Point 36, TimeBin=18, Time: 0.15918, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         20

Sync-Point 37, TimeBin=20, Time: 0.160156, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        120

Sync-Point 38, TimeBin=18, Time: 0.161133, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         19

Sync-Point 39, TimeBin=19, Time: 0.162109, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         95

Sync-Point 40, TimeBin=18, Time: 0.163086, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         13

Sync-Point 41, TimeBin=21, Time: 0.164062, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        133

Sync-Point 42, TimeBin=18, Time: 0.165039, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         12

Sync-Point 43, TimeBin=19, Time: 0.166016, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        108

Sync-Point 44, TimeBin=18, Time: 0.166992, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         10

Sync-Point 45, TimeBin=20, Time: 0.167969, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        122

Sync-Point 46, TimeBin=18, Time: 0.168945, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:          7

Sync-Point 47, TimeBin=19, Time: 0.169922, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        108

Sync-Point 48, TimeBin=18, Time: 0.170898, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:          6

Sync-Point 49, TimeBin=21, Time: 0.171875, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        133

Sync-Point 50, TimeBin=18, Time: 0.172852, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:          5

Sync-Point 51, TimeBin=19, Time: 0.173828, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        109

Sync-Point 52, TimeBin=18, Time: 0.174805, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:          5

Sync-Point 53, TimeBin=20, Time: 0.175781, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        130

Sync-Point 54, TimeBin=18, Time: 0.176758, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         12

