
Sync-Point 0, TimeBin=0, Time: 0, Systemstep: 0, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 1, TimeBin=15, Time: 1.2207e-05, Systemstep: 1.2207e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 2, TimeBin=15, Time: 2.44141e-05, Systemstep: 1.2207e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 3, TimeBin=15, Time: 3.66211e-05, Systemstep: 1.2207e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 4, TimeBin=15, Time: 4.88281e-05, Systemstep: 1.2207e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 5, TimeBin=15, Time: 6.10352e-05, Systemstep: 1.2207e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 6, TimeBin=15, Time: 7.32422e-05, Systemstep: 1.2207e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 7, TimeBin=15, Time: 8.54492e-05, Systemstep: 1.2207e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 8, TimeBin=15, Time: 9.76563e-05, Systemstep: 1.2207e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 9, TimeBin=15, Time: 0.000109863, Systemstep: 1.2207e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 10, TimeBin=15, Time: 0.00012207, Systemstep: 1.2207e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 11, TimeBin=15, Time: 0.000134277, Systemstep: 1.2207e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 12, TimeBin=15, Time: 0.000146484, Systemstep: 1.2207e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 13, TimeBin=15, Time: 0.000158691, Systemstep: 1.2207e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 14, TimeBin=15, Time: 0.000170898, Systemstep: 1.2207e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 15, TimeBin=15, Time: 0.000183105, Systemstep: 1.2207e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 16, TimeBin=15, Time: 0.000195313, Systemstep: 1.2207e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 17, TimeBin=15, Time: 0.00020752, Systemstep: 1.2207e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 18, TimeBin=15, Time: 0.000219727, Systemstep: 1.2207e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 19, TimeBin=15, Time: 0.000231934, Systemstep: 1.2207e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 20, TimeBin=15, Time: 0.000244141, Systemstep: 1.2207e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 21, TimeBin=15, Time: 0.000256348, Systemstep: 1.2207e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 22, TimeBin=15, Time: 0.000268555, Systemstep: 1.2207e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 23, TimeBin=15, Time: 0.000280762, Systemstep: 1.2207e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 24, TimeBin=15, Time: 0.000292969, Systemstep: 1.2207e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 25, TimeBin=15, Time: 0.000305176, Systemstep: 1.2207e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 26, TimeBin=15, Time: 0.000317383, Systemstep: 1.2207e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 27, TimeBin=15, Time: 0.00032959, Systemstep: 1.2207e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 28, TimeBin=15, Time: 0.000341797, Systemstep: 1.2207e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 29, TimeBin=15, Time: 0.000354004, Systemstep: 1.2207e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 30, TimeBin=15, Time: 0.000366211, Systemstep: 1.2207e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 31, TimeBin=15, Time: 0.000378418, Systemstep: 1.2207e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 32, TimeBin=15, Time: 0.000390625, Systemstep: 1.2207e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 33, TimeBin=15, Time: 0.000402832, Systemstep: 1.2207e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 34, TimeBin=15, Time: 0.000415039, Systemstep: 1.2207e-05, Nsync-grv:        256, Nsync-hyd:        256

